,PctOfHomesDecreasingInValues,distance_grocery_km,distance_public_school_arts_center_km,distance_public_school_ye_km,ListPrice2_delta,FreddieMac15yr,PriceIndex,distance_cap_gain_school_km,SaleCount,TaxTotalLivingArea,count_metro_station_km,YearBuilt,Acres,Bedrooms,BasementY/N,Fireplaces,TotalTaxes2,DOMP,qcut_DOMP
1317,2.39,0.7125127566,2.0663683672,3.0149997338,0.3044803413593417,3.17,187.9588779,2.0663750631,1,593.0,11,1921,0.0,2,1,1,2705.0,90,0
1318,1.32,0.7125127566,2.0663683672,3.0149997338,0.24341720304271505,3.52,189.5440738,2.0663750631,1,632.0,11,1921,0.0,2,0,1,2280.0,10,0
1319,63.08,0.5441769965,3.8779463333,0.9333002777,-0.07515442690459849,4.18,170.4751925,1.6108330292,1,1024.0,1,1940,0.029,3,1,0,2254.0,17,0
1320,9.17,0.0869035993,0.6838027307,1.3714600327000002,0.1498722161372764,3.27,195.9526553,3.3068398662000003,1,1433.0,6,1970,0.0,2,0,1,4976.0,36,0
1321,22.56,1.8850820643,8.865894175800001,2.6050702035,0.6208387375702551,3.24,195.8744368,2.6800115516,1,1449.0,3,2008,0.0,3,0,0,1849.0,65,0
1322,8.52,0.7688626469,3.5435145192000004,1.2982218335,-0.06934189406099517,2.8,174.8671796,1.2799296346,1,1260.0,0,1939,0.078,3,1,2,2760.0,24,0
1323,8.76,0.6432132772,1.1799533433,4.0101861926,0.7795637198622273,3.17,187.9588779,1.1799571235,2,1528.0,0,1889,0.022,3,1,1,10538.0,3,0
1324,3.17,0.6480435995,3.4098373823,0.4272103192,0.5055211419337463,3.35,188.9390719,0.8174951156999999,1,2750.0,3,1910,0.172,4,1,0,3367.0,5,0
1325,3.19,0.3765940877,2.5796698673,1.5803732731,1.0145044319097505,3.36,190.6250739,3.2569399210000003,2,4004.0,6,1895,0.055,7,1,7,9413.0,0,0
1326,2.46,1.424722444,8.3765267841,1.9554204162,-0.1831683168316832,2.72,185.6306252,2.8398531288,2,1272.0,2,1925,0.094,3,1,0,1995.0,13,0
1327,10.49,0.4669126106,1.0495465353,4.2201766028,1.9750099166997224,2.66,174.7804831,1.0495489384,1,2906.0,0,1900,0.038,5,1,1,15944.0,149,0
1328,6.2,0.2786279862,1.6950444221,1.3464326524,0.9195356285028022,3.29,194.8306605,3.3104931774,1,1458.0,6,2008,0.0,2,0,1,6031.0,10,0
1329,73.18,1.915609431,8.9164150195,2.5559420078,-0.6166084107045331,3.31,165.7220839,2.6283834972,2,900.0,3,1946,0.022,2,1,0,1540.0,1,0
1330,79.53,1.0189839498,3.5347133932,0.6632754868,0.3497970230040595,4.42,168.7854764,0.9486426657,1,1730.0,3,1925,0.12,5,1,1,4006.0,0,0
1331,3.65,0.6174372105,5.0466030611,0.8781653556,0.19196988707653692,2.66,182.5429545,1.1212393309,2,1152.0,0,1937,0.042,3,1,0,1916.0,56,0
1332,34.03,0.5289459596,1.2913192432,1.4313739502,-0.290138067061144,3.21,194.1442297,3.4100640881,1,498.0,6,1910,0.0,1,0,0,1926.0,49,0
1333,4.29,1.1839097787,1.8880874705,1.0519039367,0.3128100379340531,2.7,175.2482939,0.9391937995,1,2099.0,0,1922,0.107,4,1,1,4191.0,5,0
1334,4.16,1.443834191,5.1131308104,4.2935622401,0.006355932203389831,2.95,173.0314193,1.1279566515,1,1733.0,0,1929,0.121,3,1,1,4284.0,4,0
1335,0.82,0.6532820725999999,3.4248088318,0.441925733,1.2822050842616397,3.49,189.6382211,0.8026117613,1,2300.0,3,1928,0.172,4,1,1,4663.0,12,0
