RegionName,StateName,Month,Sales
20015,DC,2015-12,27
20015,DC,2016-01,12
20015,DC,2016-02,17
20015,DC,2016-03,15
20015,DC,2016-04,19
20015,DC,2016-05,17
20015,DC,2016-06,13
20016,DC,2008-06,47
20016,DC,2008-07,57
20016,DC,2008-08,38
20016,DC,2008-09,39
20016,DC,2008-10,28
20016,DC,2008-11,23
20016,DC,2008-12,35
20016,DC,2009-01,12
20016,DC,2009-02,13
20016,DC,2009-03,28
20016,DC,2009-04,25
20016,DC,2009-05,30
20016,DC,2009-06,36
20016,DC,2009-07,54
20016,DC,2009-08,44
20016,DC,2009-09,53
20016,DC,2009-10,20
20016,DC,2009-11,47
20016,DC,2009-12,51
20016,DC,2010-01,18
20016,DC,2010-02,15
20016,DC,2010-03,33
20016,DC,2010-04,41
20016,DC,2010-05,47
20016,DC,2010-06,36
20016,DC,2010-07,43
20016,DC,2010-08,46
20016,DC,2010-09,29
20016,DC,2010-10,43
20016,DC,2010-11,23
20016,DC,2010-12,29
20016,DC,2011-01,38
20016,DC,2011-02,20
20016,DC,2011-03,28
20016,DC,2011-04,30
20016,DC,2011-05,34
20016,DC,2011-06,50
20016,DC,2011-07,50
20016,DC,2011-08,39
