RegionID,RegionName,City,State,Metro,CountyName,SizeRank,MedianSoldPricePerSqft,
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,1999-12,149.0268
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2000-01,127.6044
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2000-02,129.8364
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2000-03,147.1319
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2000-04,146.3869
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2000-05,139.596
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2000-06,144.2638
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2000-07,152.65
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2000-08,153.3152
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2000-09,147.7509
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2000-10,159.7146
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2000-11,174.4825
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2000-12,177.5711
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2001-01,176.4349
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2001-02,181.3925
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2001-03,180.5635
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2001-04,181.9902
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2001-05,178.439
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2001-06,192.4765
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2001-07,197.2447
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2001-08,203.6237
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2001-09,222.554
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2001-10,232.0509
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2001-11,223.3194
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2001-12,205.1412
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2002-01,205.9999
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2002-02,205.9749
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2002-03,222.7458
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2002-04,233.5454
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2002-05,228.5219
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2002-06,231.4023
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2002-07,255.5034
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2002-08,268.548
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2002-09,268.7208
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2002-10,256.8476
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2002-11,244.8476
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2002-12,254.3525
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2003-01,248.0019
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2003-02,251.6822
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2003-03,247.3514
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2003-04,255.8559
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2003-05,273.192
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2003-06,287.466
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2003-07,302.8613
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2003-08,317.9693
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2003-09,320.9055
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2003-10,316.5888
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2003-11,347.8129
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2003-12,352.9125
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2004-01,341.3967
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2004-02,326.1011
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2004-03,332.4238
121685,Capitol Hill,Washington,DC,Washington,District of Columbia,339,2004-04,347.2093
